FECHA,SEMANA,00 TOTAL CDMX,Azcapotzalco,Benito Juárez,Coyoacán,Cuajimalpa de Morelos,Cuauhtémoc,Gustavo A. Madero,Iztacalco,Iztapalapa,Magdalena Contreras,Miguel Hidalgo,Milpa Alta,Tlalpan,Tláhuac,Venustiano Carranza,Xochimilco,Álvaro Obregón
2020-03-10,11,-5.63924718654476,-25.010660980810197,-8.08249007301139,-3.58252226133775,-2.32142857142857,-6.81837552203187,-6.57958393807451,-5.11766903249906,-4.1649652919559,-11.117681845062098,-5.86381541924592,-0.4,-0.966057441253265,-0.3,-0.92059838895282,-0.4,-0.4
2020-03-11,11,-0.46486007174429966,-12.892865336086302,-0.4,-4.09885473176612,-1.3023782559456398,-0.4,-0.512574082972928,-5.31573314306101,-2.22799343903772,-12.1107266435986,-0.4,-0.4,-0.4,-5.20446096654275,-0.4,-3.47739692001987,-0.4
2020-03-16,12,-56.40910519463027,-64.9385749385749,-59.2777619183557,-61.3599062133646,-59.2164418754014,-49.177790675179004,-51.8654114365411,-55.5469953775038,-51.573779959572605,-56.708407871198595,-75.70576540755471,-25.766871165644197,-56.394894503776996,-25.6490134994808,-45.8571040478131,-24.2355605889015,-65.0394372202089
2020-03-17,12,-15.812920647540196,-27.761194029850696,-25.1312924298706,-21.0809691447505,-32.619047619047606,-12.332736725475199,-8.99854862119013,-0.485618229361229,-0.4,-15.9668835008871,-38.1429375351716,-0.4,-13.054830287206302,-5.900000000000009,-0.4,-0.4,-23.6658005196882
2020-03-18,12,-27.16341309400653,-26.7492544161505,-36.8072365906485,-40.084388185654,-35.8437146092865,-25.024606299212603,-16.0659939131828,-19.1937210132001,-6.56096227446692,-28.0853517877739,-50.8099653669981,-0.4,-19.9288256227758,-17.3791821561338,-15.9709618874773,-0.4,-36.4981741303094
2020-03-19,12,-32.6717121233757,-28.033567702426897,-44.945028680688296,-47.4191718661373,-43.209876543209894,-32.875960482985704,-18.8429752066116,-13.953488372093,-7.665126393041589,-24.5201238390093,-56.836296750459795,-0.4,-32.0128744738797,-6.09504132231405,-25.755053507728896,-4.70308788598575,-40.5274488697524
2020-03-21,12,-35.12528939125698,-28.9421813403417,-43.1049901627616,-50.9647543092359,-31.4127861089187,-33.522301850465304,-31.930601698043603,-16.9923534409516,-21.2192101279758,-32.1531791907514,-56.7548500881834,-21.311475409836103,-33.7480063795853,-23.4348561759729,-32.7623793210838,-30.085551330798502,-38.831800973499206
2020-03-25,13,-61.34540715562065,-51.800871759577895,-66.96394445152251,-71.93088205746429,-65.4586636466591,-54.9868766404199,-55.4060547813551,-58.5444166963967,-48.1957353745216,-68.2237600922722,-74.10345212825379,-24.683544303797497,-65.4295882053889,-53.34572490706321,-56.598392533056796,-54.09836065573771,-73.13088602729191
2020-03-26,13,-63.70127088390689,-52.869131322295296,-69.7179732313576,-78.7105312913594,-69.8765432098765,-56.8370707229105,-55.53719008264461,-56.0319767441861,-51.1823865180756,-68.5448916408669,-76.5276926221132,-19.8581560283688,-67.24436741767761,-51.4462809917355,-57.3602853745541,-58.194774346793295,-75.6907068532472
2020-03-28,13,-55.750374506332555,-51.6097240473062,-60.0250402432481,-68.3817854386416,-49.32912391475929,-47.662851641886796,-51.4950166112957,-52.463891248938,-51.9471583872299,-52.7456647398844,-67.9012345679012,-51.366120218579205,-61.3716108452951,-51.3536379018612,-51.603861725319206,-60.3136882129278,-58.2206598161168
2020-03-29,13,-58.68137641187287,-49.727857496289,-59.445534838076604,-67.96848235697159,-63.2768361581921,-55.8655116722948,-54.4113907958302,-55.509964830011704,-56.934851596042606,-64.8490749756573,-68.9173181710495,-58.13953488372089,-66.25188536953239,-53.9080459770115,-57.381150959132604,-63.91478029294271,-63.563079403466304
2020-03-30,14,-59.680629760996126,-51.007371007371,-64.259206394519,-74.16178194607271,-65.1252408477842,-49.477655252466604,-54.393305439330504,-55.5855161787365,-49.2347675425931,-67.3225998807394,-73.09476474486421,-48.4662576687117,-66.4495962490232,-45.482866043613704,-54.686226568867205,-56.398640996602495,-70.64591771477299
2020-03-31,14,-61.73837950461256,-55.074626865671604,-68.6947611118227,-75.56429902671358,-67.9761904761905,-55.1009971874201,-57.555233026931106,-53.23122898767279,-48.550428746427094,-66.8243642814902,-75.1153629712999,-45.3488372093023,-65.1174934725849,-47.2,-53.7686996547756,-56.6770186335404,-69.2584449330402
2020-04-01,14,-62.33021187408472,-52.83321862812571,-68.1233278124602,-75.5475185854933,-63.759909399773505,-58.6286089238845,-53.8843504725292,-54.0492329646807,-47.7993439037726,-65.3979238754325,-76.78471679142,-44.936708860759495,-64.33655312658871,-47.1189591078067,-60.6429867772881,-56.8802781917536,-71.7470689986546
2020-04-02,14,-65.50179793075695,-53.2773871626219,-70.3632887189293,-79.9205899035735,-69.8765432098765,-63.2037007997491,-55.1239669421488,-54.5058139534884,-53.3432998097309,-65.7585139318885,-79.00061312078479,-34.7517730496454,-67.5414706610547,-40.0826446280992,-63.0915576694411,-63.04038004750589,-73.6096160746322
2020-04-05,14,-49.60161106733214,-34.982681840672896,-45.0605168465816,-62.3387004681969,-52.8436911487759,-46.468947291146705,-49.5041952707857,-44.275107463853104,-49.4368738721922,-57.805907172995795,-59.7093895601358,-62.7906976744186,-60.583207642031205,-43.0651340996169,-49.0686683347234,-47.669773635153106,-59.77428456267629
2020-04-07,15,-72.01622962729428,-67.0149253731343,-75.4066863071602,-81.8181818181818,-80.2976190476191,-69.0445751299753,-68.8437348814707,-67.3888681359731,-59.0172859670614,-75.458308693081,-80.0675295441756,-53.4883720930233,-74.490861618799,-67.5,-70.2819332566168,-63.871635610766106,-80.1718968618829
2020-04-08,15,-73.91006435490588,-65.74902500573529,-76.812332781246,-82.05746433594541,-77.34994337485841,-73.7860892388451,-69.5498958833894,-71.7088833392793,-58.2832148715145,-74.50980392156859,-83.9347558931963,-46.8354430379747,-75.9532282663955,-68.4944237918216,-73.9953331604874,-68.5047193243915,-81.06861426100329
2020-04-09,15,-79.7476406215518,-77.273758221819,-80.83173996175908,-85.9519757988278,-84.44444444444441,-78.6733573780775,-74.74380165289259,-76.16279069767441,-68.90459363957599,-78.94736842105259,-86.8076844471694,-38.2978723404255,-80.4159445407279,-73.7603305785124,-80.30915576694409,-78.00475059382421,-86.47290993900249
2020-04-10,15,-85.8112379384788,-83.6837494524748,-84.7348978704911,-88.537037037037,-91.65775401069521,-83.22961795982671,-83.0431059092207,-82.656,-81.76313031326421,-90.8552985476062,-88.9512583029283,-85.85858585858591,-88.67591980612471,-83.6051502145923,-84.5438039037676,-87.6687668766877,-91.9651347068146
